task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
35	f9/5714e0	38671191	NFCORE_SAREK:SAREK:FASTP (RUSS_3_1999-L001)	COMPLETED	0	2023-06-15 18:48:27.702	7m 4s	2m 58s	1034.9%	1.9 GB	2.8 GB	9.9 GB	9.1 GB
57	5c/188bed	38671213	NFCORE_SAREK:SAREK:FASTP (KALM_1_2018-L001)	COMPLETED	0	2023-06-15 18:48:28.900	7m 2s	3m 2s	979.9%	1.9 GB	2.8 GB	9.2 GB	8.5 GB
20	41/b4e9f5	38671176	NFCORE_SAREK:SAREK:FASTP (КALM_10_1983-L001)	COMPLETED	0	2023-06-15 18:48:26.686	7m 9s	3m 11s	990.2%	2 GB	2.8 GB	9.6 GB	8.7 GB
72	f6/9fd59d	38671227	NFCORE_SAREK:SAREK:FASTP (BAJK_4_2016-L001)	COMPLETED	0	2023-06-15 18:48:29.592	7m 27s	1m 41s	954.2%	1.9 GB	2.8 GB	5.1 GB	4.6 GB
15	a2/367416	38671173	NFCORE_SAREK:SAREK:FASTP (JAPA_1_1994-L001)	COMPLETED	0	2023-06-15 18:48:26.412	7m 40s	3m 25s	986.8%	1.9 GB	2.8 GB	11.3 GB	10.2 GB
47	d3/88c5d3	38671203	NFCORE_SAREK:SAREK:FASTP (VAST_3_2005-L001)	COMPLETED	0	2023-06-15 18:48:28.255	7m 38s	3m 15s	984.7%	1.9 GB	2.8 GB	10.3 GB	9.3 GB
43	33/77570d	38671198	NFCORE_SAREK:SAREK:FASTQC (BAJK_2_2016-L001)	COMPLETED	0	2023-06-15 18:48:28.118	7m 43s	4m 45s	199.5%	1.1 GB	3.8 GB	4.1 GB	4.3 MB
61	15/85e6ec	38671216	NFCORE_SAREK:SAREK:FASTQC (KRAS_4_2002-L001)	COMPLETED	0	2023-06-15 18:48:28.991	7m 42s	4m 43s	200.2%	1 GB	3.8 GB	3.8 GB	4.4 MB
46	08/a830bf	38671200	NFCORE_SAREK:SAREK:FASTQC (SMAL_5_1998-L001)	COMPLETED	0	2023-06-15 18:48:28.180	8m 8s	5m 10s	199.7%	1 GB	3.9 GB	4.6 GB	4.5 MB
11	33/5b9b99	38671166	NFCORE_SAREK:SAREK:FASTQC (URAL_2_1995-L001)	COMPLETED	0	2023-06-15 18:48:25.730	8m 15s	6m 9s	199.2%	1.1 GB	3.8 GB	6 GB	4.4 MB
22	57/b280d4	38671174	NFCORE_SAREK:SAREK:FASTP (CHEH_1_1989-L001)	COMPLETED	0	2023-06-15 18:48:26.493	8m 20s	3m 37s	1028.4%	1.9 GB	2.8 GB	12.2 GB	11.2 GB
30	2d/d11a9c	38671184	NFCORE_SAREK:SAREK:FASTQC (STOC_6_1965-L001)	COMPLETED	0	2023-06-15 18:48:27.223	8m 19s	5m 20s	200.2%	1 GB	3.8 GB	4.9 GB	4.5 MB
71	63/2ff914	38671226	NFCORE_SAREK:SAREK:FASTQC (BAJK_4_2016-L001)	COMPLETED	0	2023-06-15 18:48:29.538	8m 17s	5m 18s	200.1%	1 GB	3.8 GB	5.1 GB	4.4 MB
86	77/7d564c	38671250	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna.bed)	COMPLETED	0	2023-06-15 18:51:26.685	5m 29s	0ms	29.6%	1.3 MB	11 MB	52.6 KB	1.7 KB
75	94/2c8e01	38671231	NFCORE_SAREK:SAREK:FASTQC (RUSS_5_2008-L001)	COMPLETED	0	2023-06-15 18:48:29.718	8m 36s	5m 39s	200.2%	1 GB	3.8 GB	5 GB	4.3 MB
63	8a/cac10b	38671218	NFCORE_SAREK:SAREK:FASTQC (SMAL_6_2013-L001)	COMPLETED	0	2023-06-15 18:48:29.197	8m 42s	5m 43s	200.0%	1.1 GB	3.9 GB	5 GB	4.3 MB
13	00/814853	38671168	NFCORE_SAREK:SAREK:FASTQC (RUSS_4_2008-L001)	COMPLETED	0	2023-06-15 18:48:25.914	8m 50s	5m 47s	199.3%	1.1 GB	3.8 GB	5.6 GB	4.4 MB
66	ce/e43ac7	38671220	NFCORE_SAREK:SAREK:FASTQC (VORO_1_1998-L001)	COMPLETED	0	2023-06-15 18:48:29.272	8m 52s	5m 51s	198.2%	1.1 GB	3.8 GB	5.1 GB	4.4 MB
68	88/55d738	38671223	NFCORE_SAREK:SAREK:FASTQC (BAJK_3_2016-L001)	COMPLETED	0	2023-06-15 18:48:29.389	8m 52s	5m 51s	198.7%	1.1 GB	3.8 GB	5 GB	4.3 MB
73	81/6874ea	38671228	NFCORE_SAREK:SAREK:FASTP (CHEH_2_2004-L001)	COMPLETED	0	2023-06-15 18:48:29.629	9m 12s	1m 56s	975.7%	1.9 GB	2.8 GB	6.4 GB	5.9 GB
76	57/0a40bf	38671230	NFCORE_SAREK:SAREK:FASTP (RUSS_5_2008-L001)	COMPLETED	0	2023-06-15 18:48:29.681	9m 31s	1m 35s	976.0%	1.9 GB	2.8 GB	5 GB	4.6 GB
74	87/fc9636	38671229	NFCORE_SAREK:SAREK:FASTQC (CHEH_2_2004-L001)	COMPLETED	0	2023-06-15 18:48:29.653	9m 36s	6m 39s	199.0%	1.1 GB	3.8 GB	6.4 GB	4.3 MB
83	0e/0662c9	38671239	NFCORE_SAREK:SAREK:FASTP (BELA_1_2004-L001)	COMPLETED	0	2023-06-15 18:48:30.164	9m 36s	55s	928.6%	1.9 GB	2.8 GB	2.7 GB	2.4 GB
28	a7/951592	38671182	NFCORE_SAREK:SAREK:FASTQC (URAL_1_1991-L001)	COMPLETED	0	2023-06-15 18:48:27.116	9m 49s	6m 48s	193.5%	1.1 GB	3.8 GB	6.2 GB	4.3 MB
77	ec/000dbb	38671234	NFCORE_SAREK:SAREK:FASTP (VAST_2_1999-L001)	COMPLETED	0	2023-06-15 18:48:29.830	9m 46s	59s	907.1%	1.9 GB	2.8 GB	2.8 GB	2.6 GB
79	cb/66b869	38671232	NFCORE_SAREK:SAREK:FASTQC (POLA_2_2003-L001)	COMPLETED	0	2023-06-15 18:48:29.757	10m 16s	7m 17s	199.1%	1.1 GB	3.8 GB	6.6 GB	4.3 MB
55	c3/e01440	38671210	NFCORE_SAREK:SAREK:FASTQC (POLA_1_2003-L001)	COMPLETED	0	2023-06-15 18:48:28.598	10m 33s	7m 31s	199.4%	1.1 GB	3.8 GB	6.3 GB	4.4 MB
25	6d/d4542b	38671181	NFCORE_SAREK:SAREK:FASTQC (RUSS_1_1998-L001)	COMPLETED	0	2023-06-15 18:48:27.030	10m 59s	8m	198.1%	1.1 GB	3.8 GB	7.6 GB	4.3 MB
80	0d/30f1f7	38671233	NFCORE_SAREK:SAREK:FASTP (POLA_2_2003-L001)	COMPLETED	0	2023-06-15 18:48:29.807	11m 1s	2m 6s	964.0%	1.9 GB	2.8 GB	6.6 GB	6.1 GB
31	b0/79b1e7	38671186	NFCORE_SAREK:SAREK:FASTQC (VAST_1_1983-L001)	COMPLETED	0	2023-06-15 18:48:27.383	11m 14s	8m 11s	198.1%	1.1 GB	3.8 GB	8.2 GB	4.3 MB
10	48/b3e9b5	38671160	NFCORE_SAREK:SAREK:FASTQC (SLOV_1_1990-L001)	COMPLETED	0	2023-06-15 18:48:24.890	11m 26s	11m 22s	198.0%	1 GB	3.8 GB	10.6 GB	4.3 MB
9	c1/545405	38671163	NFCORE_SAREK:SAREK:FASTP (SLOV_1_1990-L001)	COMPLETED	0	2023-06-15 18:48:25.398	11m 56s	3m 11s	991.2%	1.9 GB	2.8 GB	10.6 GB	9.8 GB
81	06/fa2ef2	38671237	NFCORE_SAREK:SAREK:FASTP (KRAS_1_2002-L001)	COMPLETED	0	2023-06-15 18:48:29.906	11m 52s	2m 32s	1009.3%	1.9 GB	2.8 GB	7.7 GB	7 GB
1	81/3c3f80	38671159	NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna)	COMPLETED	0	2023-06-15 18:48:24.798	12m 1s	11m 56s	96.8%	861.4 MB	882.2 MB	2.2 GB	1.5 GB
82	3b/2048b5	38671236	NFCORE_SAREK:SAREK:FASTQC (KRAS_1_2002-L001)	COMPLETED	0	2023-06-15 18:48:29.876	12m 21s	9m 23s	199.3%	1.1 GB	3.8 GB	7.7 GB	4.4 MB
58	80/ac107d	38671212	NFCORE_SAREK:SAREK:FASTQC (KALM_1_2018-L001)	COMPLETED	0	2023-06-15 18:48:28.874	13m 22s	10m 22s	198.0%	1023.6 MB	3.8 GB	9.2 GB	4.3 MB
36	90/97ef78	38671190	NFCORE_SAREK:SAREK:FASTQC (RUSS_3_1999-L001)	COMPLETED	0	2023-06-15 18:48:27.638	13m 28s	10m 26s	198.6%	1 GB	3.8 GB	9.9 GB	4.3 MB
54	ba/2fca58	38671208	NFCORE_SAREK:SAREK:FASTQC (KRAS_3_2002-L001)	COMPLETED	0	2023-06-15 18:48:28.505	13m 28s	10m 30s	198.5%	1.1 GB	3.9 GB	9.1 GB	4.3 MB
48	a9/47dafb	38671202	NFCORE_SAREK:SAREK:FASTQC (VAST_3_2005-L001)	COMPLETED	0	2023-06-15 18:48:28.232	14m 13s	11m 15s	198.0%	1.1 GB	3.8 GB	10.3 GB	4.4 MB
34	86/890316	38671188	NFCORE_SAREK:SAREK:FASTQC (SMAL_4_1996-L001)	COMPLETED	0	2023-06-15 18:48:27.493	14m 29s	11m 28s	199.0%	1 GB	3.8 GB	9.7 GB	4.3 MB
16	b1/940f49	38671171	NFCORE_SAREK:SAREK:FASTQC (JAPA_1_1994-L001)	COMPLETED	0	2023-06-15 18:48:26.292	15m 20s	12m 20s	197.7%	1 GB	3.8 GB	11.3 GB	4.3 MB
21	93/4a8b53	38671177	NFCORE_SAREK:SAREK:FASTQC (CHEH_1_1989-L001)	COMPLETED	0	2023-06-15 18:48:26.785	16m 39s	13m 37s	198.1%	1.1 GB	3.8 GB	12.2 GB	4.3 MB
