task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
88	89/950639	37898152	NFCORE_SAREK:SAREK:FASTQC (DALA_1_1965-L001)	COMPLETED	0	2023-05-12 11:08:52.430	9h 16m 15s	5m 57s	197.9%	1.1 GB	3.8 GB	5 GB	4.6 MB
9	a3/e2b7c6	37898074	NFCORE_SAREK:SAREK:FASTQC (GAST_6_1965-L001)	COMPLETED	0	2023-05-12 11:08:44.435	9h 16m 38s	6m 10s	198.7%	1.1 GB	3.8 GB	5.8 GB	4.5 MB
22	4c/f562c2	37898085	NFCORE_SAREK:SAREK:FASTQC (RUSS_4_2008-L001)	COMPLETED	0	2023-05-12 11:08:45.526	9h 16m 37s	6m 11s	195.4%	1.1 GB	3.9 GB	5.6 GB	4.4 MB
44	db/2b4203	37898110	NFCORE_SAREK:SAREK:FASTQC (URAL_1_1991-L001)	COMPLETED	0	2023-05-12 11:08:48.267	9h 16m 49s	6m 26s	199.7%	1 GB	3.9 GB	6.2 GB	4.3 MB
20	a4/5e16b9	37898084	NFCORE_SAREK:SAREK:FASTQC (URAL_2_1995-L001)	COMPLETED	0	2023-05-12 11:08:45.502	9h 16m 57s	6m 31s	200.3%	1 GB	3.7 GB	6 GB	4.4 MB
92	85/8f987f	37898156	NFCORE_SAREK:SAREK:FASTQC (STOC_5_1965-L001)	COMPLETED	0	2023-05-12 11:08:52.532	9h 16m 54s	6m 38s	200.1%	1 GB	3.8 GB	5.6 GB	4.5 MB
100	57/7b9dc4	37898164	NFCORE_SAREK:SAREK:FASTQC (GAST_1_1941-L001)	COMPLETED	0	2023-05-12 11:08:53.489	9h 17m 24s	7m 4s	196.0%	1.1 GB	3.8 GB	5.8 GB	4.5 MB
43	79/5d1ab5	37898107	NFCORE_SAREK:SAREK:FASTQC (RUSS_1_1998-L001)	COMPLETED	0	2023-05-12 11:08:47.544	9h 18m 19s	7m 59s	198.7%	1.1 GB	3.8 GB	7.6 GB	4.3 MB
48	e0/82bf8d	37898114	NFCORE_SAREK:SAREK:FASTQC (VAST_1_1983-L001)	COMPLETED	0	2023-05-12 11:08:48.406	9h 18m 59s	8m 34s	198.1%	1.1 GB	3.8 GB	8.2 GB	4.3 MB
103	81/ff5767	37898167	NFCORE_SAREK:SAREK:FASTQC (KRAS_3_2002-L001)	COMPLETED	0	2023-05-12 11:08:53.561	9h 19m 13s	8m 56s	198.4%	1.1 GB	3.8 GB	9.1 GB	4.3 MB
16	70/c2321f	37898081	NFCORE_SAREK:SAREK:FASTQC (SLOV_1_1990-L001)	COMPLETED	0	2023-05-12 11:08:45.327	9h 20m 17s	9m 50s	198.3%	1 GB	3.8 GB	10.6 GB	4.3 MB
