samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
GAST101965_01_L1 AHKFY7DSX5.L001.S16 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1016/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1016_S16_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1016/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1016_S16_L001_R2_001.fastq.gz
SMAL21967_01_L1 AHKFY7DSX5.L001.S20 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1020/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1020_S20_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1020/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1020_S20_L001_R2_001.fastq.gz
STOC21965_01_L1 AHKFY7DSX5.L001.S2 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1002/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1002_S2_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1002/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1002_S2_L001_R2_001.fastq.gz
GAST71965_01_L1 AHKFY7DSX5.L001.S10 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1010/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1010_S10_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1010/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1010_S10_L001_R2_001.fastq.gz
GAST111965_01_L1 AHKFY7DSX5.L001.S18 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1018/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1018_S18_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1018/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1018_S18_L001_R2_001.fastq.gz
GAST121969_01_L1 AHKFY7DSX5.L001.S12 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1012/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1012_S12_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1012/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1012_S12_L001_R2_001.fastq.gz
STOC31965_01_L1 AHKFY7DSX5.L001.S7 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1007/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1007_S7_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1007/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1007_S7_L001_R2_001.fastq.gz
DALA11965_01_L1 AHKFY7DSX5.L001.S6 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1006/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1006_S6_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1006/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1006_S6_L001_R2_001.fastq.gz
SMAL31967_01_L1 AHKFY7DSX5.L001.S33 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1033/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1033_S33_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1033/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1033_S33_L001_R2_001.fastq.gz
КALM61961_01_L1 AHKFY7DSX5.L001.S25 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1025/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1025_S25_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1025/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1025_S25_L001_R2_001.fastq.gz
