"Quality"	"ALTA_1_2015.freebayes"	"ALTA_2_2015.freebayes"	"BAJK_1_2016.freebayes"	"BAJK_2_2016.freebayes"	"BAJK_3_2016.freebayes"	"BAJK_4_2016.freebayes"	"BELA_1_2004.freebayes"	"CHEH_1_1989.freebayes"	"CHEH_2_2004.freebayes"	"CHEH_3_2008.freebayes"	"JAPA_1_1994.freebayes"	"JAPA_2_1994.freebayes"	"KALM_10_1983.freebayes"	"KALM_1_2018.freebayes"	"KALM_9_1981.freebayes"	"KAZA_1_2006.freebayes"	"KAZA_2_2006.freebayes"	"KRAS_1_2002.freebayes"	"KRAS_2_2002.freebayes"	"KRAS_3_2002.freebayes"	"KRAS_4_2002.freebayes"	"POLA_1_2003.freebayes"	"POLA_2_2003.freebayes"	"RUSS_1_1998.freebayes"	"RUSS_2_1999.freebayes"	"RUSS_3_1999.freebayes"	"RUSS_4_2008.freebayes"	"RUSS_5_2008.freebayes"	"SLOV_1_1990.freebayes"	"SMAL_4_1996.freebayes"	"SMAL_5_1998.freebayes"	"SMAL_6_2013.freebayes"	"STOC_6_1965.freebayes"	"URAL_1_1991.freebayes"	"URAL_2_1995.freebayes"	"VAST_1_1983.freebayes"	"VAST_2_1999.freebayes"	"VAST_3_2005.freebayes"	"VORO_1_1998.freebayes"
0	1539338	998963	731099	1202842	1270522	1221748	691457	1775083	1346692	720212	1633172	400919	1742310	1607710	1705411	1178417	1553725	1742523	625393	1670460	955549	1514507	1590878	1688864	776024	1736070	1372006	1302203	1700731	1704328	889479	1369221	1281183	1413022	1360824	1716729	819998	1580570	1176931
1.6																									4049
1.7										3495
1.9																			7044
2.4												2935																											3504
2.6																																7631
3.1			1720
3.2							3155
3.3																									2791									3780
3.4										2012
3.5																																					2388
3.7																			1867												2185
3.9																3033						2700																2422
4						5367
4.1				2523
4.2																					2990
4.3																												3369
4.5																																	3058
4.7																																			3439				2795
4.8												4459
4.9																									3839
5										2806
5.1																											3520
5.3		4353																														3224
5.4																	2327
5.6																		2465	1804
5.7									2652
5.8	50133																						14579
6.2			14277
6.3															1699									1938
6.4							1821
6.5					2451																													1598
6.6																									1644
6.7										1714																										2982
6.8													2013
6.9																				3168
7																																					1459
7.1																														1589									1633
7.2												1064
7.4											2549								3273							2896					2209
7.5														4140
7.7																5774						3989																2945
7.9								2254																								2022
8						2326
8.2																									2665
8.3				2034
8.4										1365											1311
8.6																													1623
8.7																												2061
9.1																																	1852
9.2			2415
9.3																			3811																5551
9.5							2079																																2008
9.6												1527
9.8																									1171									1547
10.1										922																	1357
10.6																																1530					1556
10.7		2031
10.9																	4063
11.1																															2475
11.2																			1496
11.3									1395									1508
11.5																									1060
11.6	2589															2420						2115	2623															1816
11.7										1554
11.8																																							1911
12												832
12.1						1602
12.3			2880
12.4				2401
12.5																					3381
12.6																								2446
12.7							1550								1862
13																			1433									1434
13.1					2106																				2374									1784
13.2																																1355
13.3																																				1924
13.4										2464
13.6																																	1638
13.7													1714
13.8																				1559
14																																			42611
14.1																														1358							2251
14.2																																							3557
14.4												1115
14.8																									880						922
14.9											1906			2070					2533							2034
15.1										2092
15.2																											1730
15.4			2163													2497																						1353
15.5																						2573
15.7								1411
15.8																																1531
15.9							1626
16		5225
16.1						1640
16.3																	2355
16.4																									1845									1780
16.6				1487																																			1785
16.7																					1212
16.8										1003		972							1412
16.9																		2846
17									1878
17.3	1212																						1379					1404	1438
17.6																																					1583
18																									1998
18.2																																	2581
18.4										1137
18.5			934																													1363
18.6																			6253												12443				2542
18.9																								1735
19															1997																								1714
19.1							1358
19.2												1339
19.3																1178						1114																1194
19.6					1934																													1445
19.7																									1665
20																																				1689
20.1						2612				2054
20.2																											6288
20.5													2864						1986
20.7				1619
20.8																				2115
20.9																					1385
21.1																																1560					1653
21.2																														1618
21.3																									1505														1536
21.4		2384
21.5			2302
21.6												2345																2278
21.8										2650							1975
22.3							9266				1501								6259							1557					13783
22.4														1853
22.5																		1689
22.6									1171
22.7																																	3454
22.9																																		1868
23																									1262
23.1	1720																						1721
23.2																965						1224																1024
23.3																																			1247
23.5										830
23.6								1621
23.7																																							1334
23.8																																1240
24												1776
24.1						1584
24.2																			1099
24.6			1531																						2925												2779
24.9				4364
25.1																					2008
25.2										1016														1599
25.3																											2818
25.4							1240								1529
25.9																													1404
26																												1244			858
26.1					1977														1391																				1645
26.2																									1598									2055
26.4												2191																				1949
26.7		12808																																		3480
26.8										1741
27																1090																						2145
27.1																						1197
27.2																	1377																1172
27.3													1422
27.7			1263																	1669
27.9																			1465						1164										5683
28.2						1091												1219												1071							1280
28.3									1203
28.4																																							1359
28.5										703
28.6							1188
28.8												1465
28.9	1748																						2105
29				1458																												1843
29.3																					1051
29.5																									3557									3435
29.7																															1137
29.8											1343								1471							1431
29.9														1723
30.2										1204
30.3																											2048	4496
30.8			920																																				1501
30.9																2464																						1541
31																						11133
31.2																									1700
31.3												48683
31.5								1493																1669
31.7															2239				5536													2619					3874
31.8							2029																										1870
31.9										1469
32.1		1704
32.2						1755
32.6																																			1949
32.7					2104												1925																	1621
32.8																									3356
33.2				1237																																			1063
33.4																															1298					1837
33.5										13561									12517		9189
33.7												1024
33.8			785															1287
33.9									1024
34.1													1347
34.3																																1099
34.4																									1421
34.6																				1301								1108	1359
34.7	2422															2173							1604															1068
34.8																						1235
35							1067
35.2										1758																											2217
35.3																														2438
35.4																			3010								3543
35.5																																							1787
36																																		1130
36.1												1006													2633
36.2						1449
36.3																																	1595
36.9			1055							1069																						1071
37.1																															847
37.2											1421								1097							1528
37.3				4007										4145																					5356
37.4		1297
37.6																					906
37.7																									1044
37.9																								1223															1420
38.1															1410		1402
38.2							1107
38.5												1560
38.6										1156						1489																						1100
38.7																						1339															1548
39																												1723
39.1																			1426
39.2					12192
39.3								1381																										1373
39.4																									1162
39.5																		1657
39.6									1190																							1234
40			2012																																	2489
40.2						1933				1419
40.3																																							2695
40.4	1210																						1321
40.5																											1243
40.8																															1748
40.9												757																					1336
41													1403						1457						1105
41.3							1090
41.4				1129
41.5																				2800
41.8																					4110
