task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1592	26/c27a35	38675780	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (BAJK_2_2016)	COMPLETED	0	2023-06-15 21:36:40.891	5m 49s	5m 38s	98.6%	84.8 MB	146 MB	3.1 GB	110.4 KB
1630	b5/44f3fa	38675818	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (BAJK_4_2016)	COMPLETED	0	2023-06-15 21:41:45.915	1m 14s	51s	204.2%	323.8 MB	347.5 MB	3 GB	10.6 MB
1633	44/58eca2	38675819	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (ALTA_2_2015)	COMPLETED	0	2023-06-15 21:41:54.853	1m 5s	38s	220.2%	375.9 MB	398.4 MB	2.5 GB	10.4 MB
1552	fa/a59e57	38675710	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (RUSS_5_2008)	COMPLETED	0	2023-06-15 21:19:43.903	23m 26s	22m 58s	154.7%	21.3 GB	34.8 GB	25.1 GB	10.2 GB
1635	1a/ed7525	38675825	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (RUSS_5_2008)	COMPLETED	0	2023-06-15 21:43:09.670	9.9s	2s	62.8%	4.3 MB	13.2 MB	2.5 GB	132.4 KB
1547	82/017c0c	38675705	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (BAJK_3_2016)	COMPLETED	0	2023-06-15 21:19:38.729	24m 1s	23m 29s	142.0%	21.2 GB	34.8 GB	26.2 GB	10.5 GB
1601	77/907d2e	38675787	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (STOC_6_1965)	COMPLETED	0	2023-06-15 21:37:30.678	6m 34s	6m 22s	98.0%	64.4 MB	145.9 MB	3.5 GB	111.3 KB
1605	0d/e3caa1	38675792	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SMAL_5_1998)	COMPLETED	0	2023-06-15 21:37:57.203	6m 12s	6m 6s	98.6%	82.5 MB	146 MB	3.4 GB	109.5 KB
1636	8a/d1fef9	38675826	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (RUSS_5_2008)	COMPLETED	0	2023-06-15 21:43:19.749	49.8s	39s	248.7%	320.6 MB	346.9 MB	2.9 GB	10.4 MB
1639	c5/19768b	38675830	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (BAJK_3_2016)	COMPLETED	0	2023-06-15 21:43:59.445	10.2s	2s	50.3%	4.1 MB	13.2 MB	2.5 GB	130 KB
1642	d9/c8b1d2	38675832	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (BAJK_3_2016)	COMPLETED	0	2023-06-15 21:44:10.002	44.6s	38s	251.3%	231.2 MB	253.8 MB	3 GB	11 MB
1554	f4/8b191b	38675712	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (CHEH_2_2004)	COMPLETED	0	2023-06-15 21:19:43.970	26m 41s	26m 9s	164.4%	24.6 GB	34.8 GB	31.6 GB	12.7 GB
1643	68/0a601e	38675839	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (CHEH_2_2004)	COMPLETED	0	2023-06-15 21:46:24.772	4.8s	2s	74.4%	4.1 MB	13.2 MB	3 GB	166.5 KB
1458	90/0a5f2c	38675653	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (RUSS_1_1998)	COMPLETED	0	2023-06-15 21:15:48.803	30m 46s	30m 21s	164.9%	26.2 GB	34.8 GB	37.3 GB	15 GB
1612	b9/6a7164	38675801	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SMAL_6_2013)	COMPLETED	0	2023-06-15 21:39:56.197	6m 48s	6m 41s	98.6%	83 MB	145.9 MB	3.3 GB	111.3 KB
1647	c1/770457	38675843	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (RUSS_1_1998)	COMPLETED	0	2023-06-15 21:46:34.693	9.9s	4s	48.1%	4.2 MB	13.2 MB	3.6 GB	195 KB
1646	5a/1d338c	38675842	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (CHEH_2_2004)	COMPLETED	0	2023-06-15 21:46:29.791	59.8s	50s	221.2%	321.9 MB	349.1 MB	3.5 GB	11 MB
1648	c1/954265	38675844	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (RUSS_1_1998)	COMPLETED	0	2023-06-15 21:46:44.767	49.8s	45s	266.3%	321.8 MB	350.7 MB	4.1 GB	11.2 MB
1609	ce/4ca604	38675798	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (RUSS_4_2008)	COMPLETED	0	2023-06-15 21:39:34.947	8m 25s	8m 21s	98.5%	84.6 MB	145.8 MB	3.9 GB	111.7 KB
1557	4d/d680e5	38675720	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (KAZA_1_2006)	COMPLETED	0	2023-06-15 21:22:23.116	25m 41s	25m 19s	149.2%	22.9 GB	34.8 GB	26.6 GB	11.2 GB
1618	3d/c6faef	38675809	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (VORO_1_1998)	COMPLETED	0	2023-06-15 21:41:16.850	7m 3s	6m 57s	98.5%	84.8 MB	145.9 MB	3.2 GB	117.8 KB
1651	9b/8ed55f	38675849	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (KAZA_1_2006)	COMPLETED	0	2023-06-15 21:48:04.678	14.9s	2s	80.6%	4.2 MB	13.2 MB	2.8 GB	146 KB
1632	7e/96028e	38675820	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (ALTA_2_2015)	COMPLETED	0	2023-06-15 21:41:54.893	6m 35s	6m 25s	99.0%	84.8 MB	145.1 MB	3.5 GB	112.2 KB
1653	5b/23e12a	38675852	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (KAZA_1_2006)	COMPLETED	0	2023-06-15 21:48:19.800	59.8s	50s	191.1%	230 MB	252.2 MB	3.1 GB	10.5 MB
1629	18/1f5abf	38675817	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (BAJK_4_2016)	COMPLETED	0	2023-06-15 21:41:45.884	7m 49s	7m 40s	98.4%	87.7 MB	146 MB	3.7 GB	110.1 KB
1621	90/eded99	38675811	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (URAL_2_1995)	COMPLETED	0	2023-06-15 21:41:25.743	8m 54s	8m 47s	97.8%	88.1 MB	145.9 MB	4.2 GB	112.7 KB
1546	3c/d3d06a	38675704	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (POLA_1_2003)	COMPLETED	0	2023-06-15 21:19:38.687	30m 51s	30m 13s	154.1%	25 GB	34.9 GB	29.9 GB	12 GB
